name,resistances,immunities
A-mi-kuk,"acid; bludgeoning, piercing, and slashing from nonmagical attacks",cold
Aalpamac,cold,
Aatxe,,
Abaasy,cold,
Abbanith Giant,,
Aboleth,,
Aboleth,,
"Aboleth, Nihilith","acid, fire, lightning, thunder (only when in ethereal form); bludgeoning, piercing and slashing from nonmagical attacks","cold, necrotic, poison; bludgeoning, piercing and slashing from nonmagical attacks (only when in ethereal form)"
Aboleth Thrall,,
Aboleth,"acid,Aberrant Resilience",psychic
Abominable Beauty,,fire
Abominable Snowman,,cold
Abominable Beauty,False,fire
Accursed Defiler,"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Accursed Guardian Naga,,poison
Accursed Spirit Naga,,poison
Accursed Defiler,"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Acid Ant,,acid
Acolyte,,
Acolyte,,
Acolyte,,
Adult Amethyst Dragon,"force, psychic",
Adult Black Dragon,,acid
Adult Black Dragon,,acid
Adult Black Dragon Lich,,"acid, necrotic, poison"
Adult Blue Dragon,,lightning
Adult Blue Dragon,,lightning
Adult Boreal Dragon,cold,fire
Adult Brass Dragon,,fire
Adult Brass Dragon,,fire
Adult Bronze Dragon,,lightning
Adult Bronze Dragon,,lightning
Adult Cave Dragon,,"acid, poison, thunder"
Adult Copper Dragon,,acid
Adult Copper Dragon,,acid
Adult Earth Dragon,damage from nonmagical weapons,
Adult Emerald Dragon,"psychic, thunder",
Adult Flame Dragon,,fire
Adult Gold Dragon,,fire
Adult Gold Dragon,,fire
Adult Green Dragon,,poison
Adult Green Dragon,,poison
Adult Imperial Dragon,,"lightning, thunder"
Adult Light Dragon,"fire; bludgeoning, piercing, and slashing from nonmagical attacks",radiant
Adult Mithral Dragon,"bludgeoning, piercing, and slashing from nonmagical attacks","acid, thunder"
Adult Red Dragon,,fire
Adult Red Dragon,,fire
Adult Rime Worm,,"cold, necrotic"
Adult River Dragon,damage from nonmagical weapons,
Adult Sapphire Dragon,,psychic
Adult Sea Dragon,,cold
Adult Shadow Dragon,"acid, cold, fire, lightning, thunder; damage from nonmagical weapons","necrotic, poison"
Adult Silver Dragon,,cold
Adult Silver Dragon,,cold
Adult Void Dragon,,cold
Adult Wasteland Dragon,,force
Adult White Dragon,,cold
Adult White Dragon,,cold
Adult Wind Dragon,,lightning
Adult Black Dragon,,"acid,poisoned"
Adult Blue Dragon,,lightning
Adult Brass Dragon,,fire
Adult Bronze Dragon,,lightning
Adult Copper Dragon,,acid
Adult Gold Dragon,,fire
Adult Green Dragon,,"poison,poisoned"
Adult Red Dragon,,fire
Adult Silver Dragon,,cold
Adult White Dragon,,cold
Adult Cave Dragon,False,poison
Adult Flame Dragon,False,fire
Adult Mithral Dragon,False,slashing
Adult Sea Dragon,False,cold
Adult Void Dragon,False,cold
Adult Wind Dragon,cold,lightning
Agnibarra,,fire
Ahu-Nixta,,"poison, psychic"
Ahu-Nixta Cataphract,,"poison, psychic"
Ahu-Nixta Drudge,,"poison, psychic"
Ahu-Nixta Mechanon,,"poison, psychic"
Ahuizotl,,
Air Elemental,"lightning, thunder; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Air Elemental,"lightning, thunder; damage from nonmagical weapons",poison
Air Elemental,"thunder,Elemental Resilience","lightning,Elemental Resilience"
Akaasit,piercing,"poison, psychic"
Akanka,,
Akhlut,cold,
Akkorokamui,,poison
Aklea,,radiant; damage from nonmagical weapons
Akyishigal,"acid, fire; bludgeoning, piercing, and slashing from nonmagical attacks","cold, lightning, poison"
Al-Aeshma Genie,,"lightning, thunder"
Al-Aeshma Genie,False,"lightning, thunder"
Ala,,"lightning, poison, thunder"
Ala,False,"lightning, poison, thunder"
Alabaster Tree,"bludgeoning, piercing, and slashing from nonmagical attacks",radiant
Alabroza,,
"Alabroza, Bloodfiend","cold, fire, lightning, poison",
Alazai,,"fire, poison"
Albino Death Weasel,,
Alchemical Apprentice,"acid, cold, fire, poison",
Alchemical Golem,"acid, cold, fire, lightning","poison, psychic; bludgeoning, piercing, and slashing from nonmagical attacks not made with adamantine"
Alchemical Skunk,,
Alchemist,"fire, poison",
Alchemist Archer,,
Alchemist,False,poison
Alehouse Drake,,
Alehouse Drake,False,poison
Algorith,"acid, cold, lightning",poison
Algorith,"acid, cold, lightning",poison
Alke,,
Alkonost,lightning,
Alligator,,
Alligator Turtle,,
Alliumite,,
"Alliumite, Husker",,
"Alliumite, Rapscallion",,
Allosaurus,,
Alnaar,"bludgeoning, piercing, and slashing from nonmagical attacks","fire, poison"
Alp,"cold, necrotic",
Alpha Fish,,
Alpha Werewolf,,"damage from nonmagical, non-silvered weapons"
Alpha Yek,"cold, fire, lightning; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Alpine Creeper,"bludgeoning, piercing",cold
Alseid,,
Alseid Grovekeeper,,
Alseid,False,False
"Alseid, Woad Warrior",,
Altar Flame Golem,,"fire, poison, psychic; bludgeoning, piercing and slashing from nonmagical attacks not made with adamantine"
Amber Ooze,"bludgeoning, piercing, and slashing from nonmagical attacks",poison
Ambush Hag,Fey Resilience,"poison,poisoned"
Amethyst Dragon Wyrmling,"force, psychic",
Ammut,"cold, radiant",necrotic
Amphibolt,fire,lightning
Amphiptere,,
Amphiptere,False,False
Ancient Aboleth,,
Ancient Amethyst Dragon,"force, psychic",
Ancient Black Dragon,,acid
Ancient Black Dragon,,acid
Ancient Blue Dragon,,lightning
Ancient Blue Dragon,,lightning
Ancient Boreal Dragon,cold,fire
Ancient Brass Dragon,,fire
Ancient Brass Dragon,,fire
Ancient Bronze Dragon,,lightning
Ancient Bronze Dragon,,lightning
Ancient Copper Dragon,,acid
Ancient Copper Dragon,,acid
Ancient Earth Dragon,damage from nonmagical weapons,
Ancient Emerald Dragon,"psychic, thunder",
Ancient Flame Dragon,,fire
Ancient Gold Dragon,,fire
Ancient Gold Dragon,,fire
Ancient Green Dragon,,poison
Ancient Green Dragon,,poison
Ancient Imperial Dragon,,"lightning, thunder"
Ancient Light Dragon,fire,"radiant; bludgeoning, piercing, and slashing from nonmagical attacks"
Ancient Mandriano,"necrotic; bludgeoning, piercing, and slashing from nonmagical attacks",poison
Ancient Mithral Dragon,"bludgeoning, piercing, and slashing from","acid, thunder"
Ancient Red Dragon,,fire
Ancient Red Dragon,,fire
Ancient River Dragon,damage from nonmagical weapons,
Ancient Sapphire Dragon,,psychic
Ancient Sea Dragon,,cold
Ancient Shadow Dragon,"acid, cold, fire, lightning, thunder; damage from nonmagical weapons","necrotic, poison"
Ancient Silver Dragon,,cold
Ancient Silver Dragon,,cold
